datadate,tic,name,current_assets,accounts_payable,long_term_debt,current_liabilities,preferred_stock,cost_of_goods_sold,nonoperating_income,operating_income,sales,income_taxes,interest_and_expense,depreciation_and_amortization,equity_in_net_loss,inventory_decrease,capital_expenditures,short_term_investments_change
20201231,CHRRF,CHORUS AVIATION INC,378.567,136.345,1974.182,380.355,0.0,614.702,24.218,62.29,948.721,5.497,91.782,228.657,0.0,-15.899,406.137,0.0
20201231,ACAZF,ACADIAN TIMBER CORP,19.361,8.64,101.185,13.479,0.0,61.931,14.749,20.829,91.031,9.174,4.324,0.28,0.0,0.588,0.351,0.0
20201231,CRSWF.1,CROSSWINDS HOLDINGS INC,0.112,0.079,0.0,0.079,0.0,0.245,0.001,-0.243,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20201231,AIRI,AIR INDUSTRIES GROUP INC,43.611,7.24,14.725,27.327,0.0,41.015,0.43,-1.439,50.097,-1.412,1.491,3.052,0.0,-3.474,3.797,0.0
20201231,ITMSF,INTERMAP TECHNOLOGIES CORP,3.173,1.556,1.169,4.989,0.0,8.432,0.958,-5.205,4.72,0.021,1.338,1.493,0.0,0.0,0.192,0.0
20201231,KRA,KRATON CORP,646.39,176.229,933.414,433.087,0.0,1164.892,3.801,84.21,1563.15,-32.034,61.029,153.555,0.457,18.234,78.025,0.0
20201231,PAC,GRUPO AEROPORTUARIO DEL PACI,840.247,58.171,1082.9,262.491,0.0,283.818,2.465,193.854,591.868,23.296,73.619,99.775,0.001,0.0,157.619,0.0
20201231,VNDA,VANDA PHARMACEUTICALS INC,409.145,0.0,11.497,65.936,0.0,21.978,4.416,27.239,248.168,8.318,0.0,2.864,0.0,-2.876,1.795,-39.704
20201231,ASTI,ASCENT SOLAR TECHNOLOGIES,0.779,0.737,18.398,9.152,0.0,2.369,7.579,-2.454,0.067,0.0,3.508,0.343,0.0,-0.001,0.0,0.0
20201231,UURAF,UCORE RARE METALS INC,1.408,0.742,3.296,1.987,0.0,0.0,0.121,-3.984,0.0,0.0,0.488,0.095,0.0,0.0,0.236,0.0
20201231,ATEC,ALPHATEC HOLDINGS INC,184.16,17.599,38.075,58.312,23.603,32.099,0.0,-54.64,144.861,0.145,12.374,15.606,0.0,-18.192,23.131,0.0
20201231,LUNA,LUNA INNOVATIONS INC,75.469,4.393,26.261,30.085,0.0,40.415,0.141,7.933,82.681,0.348,0.049,2.97,0.0,-1.55,0.681,0.0
20201231,CBLI.2,CLEVELAND BIOLABS INC,2.314,0.168,0.0,0.305,0.0,2.839,-0.353,-2.587,0.263,0.0,0.0,0.011,0.0,0.0,0.0,0.055
20201231,SNCR,SYNCHRONOSS TECHNOLOGIES,121.367,12.749,44.273,125.12,237.641,122.458,11.132,-29.8,291.67,-27.108,0.476,42.672,0.0,0.0,0.885,0.011
20201231,CROMF,CROMBIE REIT,162.732,0.0,2167.694,435.085,0.0,212.039,6.136,159.81,392.383,0.007,237.828,93.416,-0.072,0.0,1.399,0.0
20201231,CETY,CLEAN ENERGY TECHNOLOGIES,1.456,1.545,1.577,9.786,0.45,0.655,-1.27,-1.236,1.406,0.0,1.329,0.033,0.0,0.072,0.0,0.0
20201231,SUMXF,SUPREMEX INC,53.297,9.499,67.319,32.36,0.0,148.737,0.221,16.112,204.604,2.789,3.294,14.003,0.0,3.277,2.117,0.0
20201231,PFPT,PROOFPOINT INC,1259.738,2.233,962.067,865.228,0.0,195.722,0.548,-92.956,1050.01,32.92,36.241,192.682,0.0,0.931,72.42,43.217
20201231,YWRLF,DIXIE GOLD INC,0.815,0.026,0.0,0.026,0.0,0.0,0.003,-0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.309,0.0
